HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Italy,France,1969,1,0,1
Denmark,England,1969,4,3,7
England,France,1969,2,0,2
Italy,Denmark,1969,3,1,4
England,West Germany,1970,5,1,6
Mexico,Austria,1970,9,0,9
Denmark,West Germany,1970,6,1,7
Italy,Switzerland,1970,2,1,3
Denmark,England,1970,2,0,2
Italy,Mexico,1970,2,1,3
Mexico,England,1970,3,2,5
Italy,Denmark,1970,0,2,2
Mexico,Argentina,1971,3,1,4
Denmark,France,1971,3,0,3
Argentina,England,1971,4,1,5
France,Italy,1971,0,1,1
Mexico,England,1971,4,0,4
Denmark,Italy,1971,1,1,2
Denmark,Argentina,1971,5,0,5
England,France,1971,2,3,5
Mexico,Italy,1971,2,1,3
Italy,Argentina,1971,4,0,4
Mexico,Denmark,1971,0,3,3
Scotland,England,1972,2,3,5
Thailand,Australia,1975,3,2,5
Hong Kong,New Zealand,1975,0,2,2
Thailand,Singapore,1975,3,0,3
New Zealand,Malaysia,1975,3,0,3
Australia,Singapore,1975,3,0,3
Hong Kong,Malaysia,1975,0,2,2
New Zealand,Australia,1975,3,2,5
Thailand,Malaysia,1975,3,0,3
Australia,Malaysia,1975,5,0,5
New Zealand,Thailand,1975,3,1,4
Taiwan,Indonesia,1977,5,0,5
Thailand,Singapore,1977,2,0,2
Indonesia,Japan,1977,1,0,1
Thailand,Hong Kong,1977,5,0,5
Taiwan,Japan,1977,7,0,7
Singapore,Hong Kong,1977,1,0,1
Taiwan,Singapore,1977,3,0,3
Thailand,Indonesia,1977,2,1,3
Singapore,Indonesia,1977,2,0,2
Taiwan,Thailand,1977,1,0,1
Italy,Northern Ireland,1979,4,0,4
Denmark,France,1979,3,1,4
England,Finland,1979,3,1,4
Sweden,Wales,1979,3,0,3
Northern Ireland,Norway,1979,1,4,5
France,Scotland,1979,0,0,0
Switzerland,Finland,1979,1,1,2
Wales,Netherlands,1979,0,2,2
Italy,Norway,1979,2,1,3
Denmark,Scotland,1979,2,0,2
England,Switzerland,1979,2,0,2
Sweden,Netherlands,1979,1,1,2
Italy,England,1979,3,1,4
Denmark,Sweden,1979,1,0,1
Sweden,England,1979,0,0,0
Italy,Denmark,1979,0,2,2
India S,Western Australia,1980,2,0,2
India N,Taiwan,1980,0,5,5
India S,Hong Kong,1980,2,0,2
Taiwan,Malaysia,1980,2,0,2
India N,Western Australia,1980,0,3,3
Western Australia,Malaysia,1980,1,0,1
India N,Hong Kong,1980,1,0,1
India S,Taiwan,1980,0,0,0
Hong Kong,Malaysia,1980,2,1,3
India S,India N,1980,1,0,1
Taiwan,Western Australia,1980,2,0,2
Taiwan,Hong Kong,1980,3,0,3
India N,Malaysia,1980,0,3,3
Hong Kong,Western Australia,1980,1,0,1
India S,Malaysia,1980,0,0,0
Taiwan,Western Australia,1980,5,0,5
India S,Hong Kong,1980,3,1,4
India S,Taiwan,1980,0,2,2
